Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1641828256,10/01/2022 15:24,8,17.2,1,0
1641828556,10/01/2022 15:29,8,17.5,1,0
1641828856,10/01/2022 15:34,8,17.7,1,0
1641829156,10/01/2022 15:39,8.1,18,1,0
1641829456,10/01/2022 15:44,8.1,18.2,0,0
1641829756,10/01/2022 15:49,8.1,18.5,0,0
1641830056,10/01/2022 15:54,8.1,18.7,0,0
1641830356,10/01/2022 15:59,8.1,18.2,0,0
1641830656,10/01/2022 16:04,8.1,18.6,0,0
1641830956,10/01/2022 16:09,8.1,18.3,0,0
1641831256,10/01/2022 16:14,8.1,18.1,0,0
1641831556,10/01/2022 16:19,8.1,18.9,0,0
1641831856,10/01/2022 16:24,8.1,18.9,0,0
1641832156,10/01/2022 16:29,8.1,18,1,0
1641832456,10/01/2022 16:34,8.1,17.5,1,0
1641832756,10/01/2022 16:39,8.1,17.3,1,0
1641833056,10/01/2022 16:44,8.1,17.2,1,0
1641833356,10/01/2022 16:49,8.1,17,1,0
1641833656,10/01/2022 16:54,8.1,16.8,1,0
1641833956,10/01/2022 16:59,8.1,16.7,1,0
1641834256,10/01/2022 17:04,8.1,16.5,1,0
1641834556,10/01/2022 17:09,8.1,16.5,1,0
1641834856,10/01/2022 17:14,8.1,17,0,0
1641835156,10/01/2022 17:19,8.1,17.6,0,0
1641835456,10/01/2022 17:24,8.1,17.7,0,0
1641835756,10/01/2022 17:29,8.1,17.8,0,0
1641836056,10/01/2022 17:34,8.1,17.6,1,0
1641836356,10/01/2022 17:39,8.1,17.4,0,0
1641836656,10/01/2022 17:44,8.1,19,0,0
1641836956,10/01/2022 17:49,8.1,18.5,0,0
1641837256,10/01/2022 17:54,8.1,18.8,0,0
1641837556,10/01/2022 17:59,8.1,18.9,0,0
1641837856,10/01/2022 18:04,8.1,18.6,0,0
1641838156,10/01/2022 18:09,8.1,18.7,1,0
1641838456,10/01/2022 18:14,8.1,18.4,1,0
1641838756,10/01/2022 18:19,8.2,18,1,0
1641839056,10/01/2022 18:24,8.2,17.7,1,0
1641839356,10/01/2022 18:29,8.2,17.4,1,0
1641839656,10/01/2022 18:34,8.2,17,1,0
1641839956,10/01/2022 18:39,8.3,16.7,1,0
1641840256,10/01/2022 18:44,8.3,17.7,0,0
1641840556,10/01/2022 18:49,8.3,17.2,0,0
1641840856,10/01/2022 18:54,8.3,18.8,0,0
1641841156,10/01/2022 18:59,8.4,18.4,0,0
1641841456,10/01/2022 19:04,8.4,18.3,0,0
1641841756,10/01/2022 19:09,8.4,18.2,0,0
1641842056,10/01/2022 19:14,8.4,18.8,0,0
1641842356,10/01/2022 19:19,8.4,18.5,0,0
1641842656,10/01/2022 19:24,8.4,18.6,0,0
1641842956,10/01/2022 19:29,8.4,18.7,0,0
1641843256,10/01/2022 19:34,8.4,18.9,0,0
1641843556,10/01/2022 19:39,8.5,18.5,0,0
